 ,x,1 (25ul250mWBaseline_3.tif),2 (25ul500mWBaseline_3.tif),3 (25ul750mWBaseline_3.tif),4 (25ul1000mWBaseline_3.tif),5 (50ul250mWBaseline_3.tif),6 (50ul500mWBaseline_3.tif),7 (50ul750mWBaseline_3.tif),8 (50ul1000mWBaseline_3.tif),9 (75ul250mWBaseline_3.tif),10 (75ul500mWBaseline_3.tif),11 (75ul750mWBaseline_3.tif),12 (75ul1000mWBaseline_3.tif)
1,0,21984.610,22219.859,21816.640,21989.927,22105.334,22016.603,22122.325,22084.002,22147.941,22608.166,22406.567,22408.338
2,1,21613.540,21882.896,21436.579,21669.110,21694.238,21565.498,21706.810,21701.506,21773.201,22246.103,22001.210,22005.904
3,2,21140.994,21456.308,20997.640,21271.612,21232.723,21094.017,21275.062,21254.323,21336.885,21844.569,21579.243,21562.874
4,3,20734.237,21016.772,20584.420,20880.972,20773.643,20654.286,20800.991,20810.183,20911.744,21404.972,21137.439,21117.498
5,4,20241.452,20547.478,20087.735,20462.417,20264.461,20110.649,20293.690,20308.162,20466.616,20969.129,20633.368,20631.652
6,5,19714.905,20082.194,19582.842,19973.003,19705.967,19598.603,19763.923,19765.718,19930.989,20460.564,20099.337,20065.136
7,6,19183.255,19468.788,19117.343,19366.231,19169.721,19135.839,19215.372,19259.204,19340.487,19853.968,19455.234,19484.602
8,7,19159.428,19223.239,19117.601,19184.260,19175.865,19292.850,19191.000,19181.006,19148.077,19476.685,19245.306,19303.928
9,8,19654.007,19262.485,19614.546,19265.474,19661.056,20140.195,19627.335,19600.075,19321.079,19225.965,19364.834,19447.864
10,9,21240.822,19907.650,21298.873,20065.877,21306.502,22449.119,21209.171,21087.283,20319.187,19471.257,20262.227,20424.013
11,10,24457.560,21918.779,24579.748,22346.073,24549.009,26043.159,24379.780,24190.884,22868.745,20630.246,22669.163,22978.248
12,11,28237.506,25435.969,28351.203,25965.141,28343.856,29742.578,28160.127,27963.653,26602.649,23440.402,26346.107,26699.517
13,12,31797.392,29135.756,31854.367,29589.024,31932.812,33202.453,31718.376,31495.997,30262.751,27182.663,30018.860,30313.167
14,13,34825.171,32603.108,34798.006,32968.043,35003.649,35818.716,34758.984,34529.934,33660.966,30787.353,33407.852,33655.236
15,14,36708.188,35366.365,36526.560,35514.426,36909.274,37200.590,36648.722,36457.880,36142.264,34086.179,35934.506,36058.348
16,15,37375.629,36894.059,37080.496,36797.404,37578.823,37410.097,37337.930,37185.488,37378.612,36406.629,37209.419,37219.740
17,16,37009.628,37214.576,36614.070,36869.232,37232.716,36809.155,37011.327,36876.216,37428.661,37431.725,37353.752,37250.108
18,17,36199.230,36709.072,35733.605,36212.649,36415.368,35907.913,36197.664,36093.709,36804.407,37392.890,36792.919,36658.539
19,18,35186.866,35756.594,34674.438,35151.320,35399.269,34940.232,35184.262,35089.955,35827.695,36679.953,35885.028,35701.669
20,19,34233.524,34697.412,33705.796,34090.551,34478.087,34107.127,34246.570,34145.168,34846.120,35714.029,34933.589,34775.440
21,20,33496.026,33787.094,32932.016,33188.228,33853.064,33553.563,33516.461,33400.035,34070.736,34772.950,34130.438,33984.425
22,21,33157.022,33097.766,32583.585,32549.690,33559.082,33337.811,33157.747,33019.759,33647.216,33999.947,33612.100,33491.403
23,22,32839.242,32792.755,32252.248,32269.331,33262.325,32910.548,32828.390,32736.875,33443.142,33564.825,33406.129,33236.781
24,23,32380.854,32403.173,31730.541,31826.966,32849.801,32550.444,32387.370,32232.133,33066.389,33333.978,33006.643,32803.036
25,24,32099.938,31973.463,31413.045,31395.479,32613.128,32275.958,32063.923,31935.123,32790.293,32918.073,32675.363,32468.575
26,25,31777.479,31650.119,31083.855,31076.320,32318.696,31958.658,31711.906,31548.559,32494.099,32595.576,32385.315,32162.261
27,26,31389.557,31263.285,30663.968,30683.643,31960.258,31584.064,31333.929,31187.308,32159.514,32282.205,32016.461,31793.901
28,27,30980.154,30939.562,30236.604,30315.096,31600.344,31189.733,30929.404,30762.236,31812.678,31993.634,31696.413,31404.348
29,28,30647.870,30492.277,29862.402,29848.941,31281.050,30928.779,30571.526,30389.663,31444.014,31619.624,31296.480,31004.929
30,29,30444.304,30173.569,29654.976,29563.393,31123.977,30720.470,30353.260,30148.777,31225.797,31259.051,31079.721,30751.629
31,30,30173.390,29957.299,29342.797,29370.465,30883.428,30367.930,30049.099,29891.445,31018.060,31079.265,30853.484,30563.021
32,31,29830.063,29656.907,28990.568,29017.671,30603.469,30093.438,29702.900,29554.605,30649.749,30901.979,30535.367,30223.980
33,32,29672.479,29353.126,28827.665,28678.163,30558.980,29986.997,29565.319,29396.225,30437.257,30568.431,30281.868,29987.022
34,33,29567.895,29251.059,28702.541,28591.462,30491.382,29820.100,29460.011,29266.879,30388.146,30367.599,30191.250,29926.133
35,34,29253.842,29081.968,28372.316,28416.939,30164.002,29442.916,29160.854,28968.346,30178.625,30278.890,30007.785,29746.416
36,35,28885.117,28745.631,27993.040,28016.975,29800.060,29188.478,28752.990,28590.117,29808.719,30078.617,29693.078,29382.313
37,36,28674.597,28362.374,27774.010,27671.997,29607.325,29050.858,28580.111,28373.941,29497.431,29657.232,29429.398,29147.081
38,37,28481.109,28239.878,27554.315,27500.269,29389.555,28830.093,28377.081,28206.466,29333.998,29474.836,29311.472,29034.455
39,38,28084.462,27975.954,27122.029,27163.571,28990.667,28438.659,27972.714,27804.009,29025.005,29362.522,29040.492,28765.470
40,39,27716.506,27535.162,26718.708,26695.709,28670.410,28165.314,27602.533,27416.477,28638.198,29062.396,28645.550,28400.832
41,40,27508.825,27182.995,26467.426,26301.007,28513.528,28010.287,27367.753,27182.427,28355.797,28725.024,28353.172,28138.798
42,41,27349.571,27047.763,26357.596,26140.674,28407.048,27882.592,27232.747,27070.649,28238.075,28553.812,28235.440,28013.850
43,42,27160.315,26912.784,26167.030,25960.081,28249.256,27681.830,27029.082,26893.577,28109.656,28466.796,28126.103,27842.490
44,43,26962.330,26718.595,25926.607,25794.353,28051.695,27523.536,26830.572,26689.695,27934.091,28355.449,27971.401,27683.053
45,44,26833.104,26514.112,25808.121,25620.471,27934.533,27441.653,26709.729,26561.861,27791.476,28109.796,27811.025,27522.172
46,45,26759.930,26394.234,25785.485,25474.309,27912.296,27456.273,26669.054,26531.552,27714.024,27904.036,27753.267,27414.273
47,46,26760.072,26376.964,25856.521,25420.192,27977.338,27511.385,26706.906,26599.587,27680.970,27735.873,27770.434,27382.873
48,47,26839.269,26485.888,25969.650,25531.926,28145.010,27625.205,26851.161,26699.696,27739.263,27730.306,27887.904,27493.281
49,48,26905.272,26555.170,26045.403,25607.909,28249.957,27643.690,26940.275,26802.516,27735.374,27744.938,27910.160,27513.155
50,49,26808.703,26599.093,25960.175,25644.028,28220.396,27530.839,26896.190,26764.472,27693.518,27761.979,27934.015,27484.095
51,50,26750.054,26508.173,25914.973,25540.586,28177.062,27497.595,26848.554,26678.185,27582.335,27670.933,27821.967,27406.002
52,51,26788.232,26545.308,25983.898,25584.321,28195.992,27534.588,26930.564,26719.270,27639.557,27596.908,27916.138,27449.400
53,52,26752.706,26562.144,25949.311,25607.138,28177.191,27448.447,26908.918,26691.698,27631.825,27622.415,27939.881,27470.795
54,53,26648.353,26479.028,25816.525,25523.934,28057.793,27335.835,26814.510,26589.615,27499.473,27645.395,27867.094,27352.392
55,54,26473.437,26304.480,25655.482,25348.176,27862.176,27211.784,26666.283,26445.270,27349.052,27518.238,27685.852,27200.718
56,55,26426.250,26182.678,25603.478,25201.963,27815.331,27207.419,26634.671,26419.048,27239.501,27392.094,27640.827,27150.706
57,56,26333.364,26111.673,25577.334,25117.025,27730.336,27234.981,26607.174,26360.720,27121.822,27302.378,27619.303,27090.982
58,57,26310.727,26108.455,25612.346,25119.066,27749.703,27315.832,26646.513,26375.479,27085.276,27278.806,27642.217,27087.686
59,58,26251.810,26131.979,25545.420,25130.246,27724.264,27292.408,26647.794,26309.397,27021.048,27306.223,27663.254,27073.925
60,59,26232.006,26086.199,25514.585,25092.981,27747.625,27248.981,26663.076,26295.827,26970.939,27372.414,27593.858,27070.109
61,60,26143.502,26056.952,25400.110,25062.905,27656.346,27105.934,26600.091,26230.111,26919.745,27389.270,27509.205,27048.702
62,61,25930.898,25907.811,25187.841,24889.146,27474.639,26945.101,26356.003,26044.291,26704.821,27284.116,27299.413,26859.375
63,62,25762.356,25662.738,25119.497,24687.166,27367.957,26940.105,26239.463,25866.601,26475.118,27079.104,27110.161,26688.911
64,63,25782.746,25621.888,25157.505,24713.424,27386.134,26975.131,26269.515,25878.481,26474.483,27004.538,27085.522,26741.571
65,64,25737.072,25642.297,25144.578,24721.435,27386.250,26958.588,26256.171,25878.772,26451.058,27056.383,27039.349,26761.427
66,65,25618.902,25605.919,25021.067,24617.029,27263.796,26898.284,26126.578,25768.377,26335.605,27062.159,26934.847,26682.381
67,66,25426.157,25430.838,24866.673,24431.627,27096.533,26814.637,25961.680,25597.813,26151.418,26922.231,26750.932,26510.143
68,67,25400.422,25365.532,24888.399,24385.812,27111.916,26913.556,25967.903,25618.229,26131.871,26828.489,26714.794,26515.369
69,68,25440.111,25383.372,24895.573,24443.669,27140.735,26891.713,25991.519,25635.197,26176.797,26747.451,26768.571,26550.903
70,69,25315.820,25371.726,24782.653,24463.026,27081.401,26760.557,25884.735,25586.193,26142.655,26754.089,26740.980,26498.209
71,70,25130.568,25277.796,24620.498,24330.978,26946.061,26557.690,25678.997,25487.267,25994.729,26672.109,26648.261,26368.408
